日期,猪肉价格,单位,数据来源
2023-07-13,22.95,元/公斤,示例数据
2023-07-14,25.4,元/公斤,示例数据
2023-07-15,23.95,元/公斤,示例数据
2023-07-16,26.8,元/公斤,示例数据
2023-07-17,24.6,元/公斤,示例数据
2023-07-18,22.5,元/公斤,示例数据
2023-07-19,25.8,元/公斤,示例数据
2023-07-20,25.75,元/公斤,示例数据
2023-07-21,26.5,元/公斤,示例数据
2023-07-22,24.05,元/公斤,示例数据
2023-07-23,27.45,元/公斤,示例数据
2023-07-24,26.4,元/公斤,示例数据
2023-07-25,23.5,元/公斤,示例数据
2023-07-26,26.4,元/公斤,示例数据
2023-07-27,23.75,元/公斤,示例数据
2023-07-28,24.8,元/公斤,示例数据
2023-07-29,22.65,元/公斤,示例数据
2023-07-30,27.35,元/公斤,示例数据
2023-07-31,26.05,元/公斤,示例数据
2023-08-01,22.75,元/公斤,示例数据
2023-08-02,21.85,元/公斤,示例数据
2023-08-03,22.13,元/公斤,示例数据
2023-08-04,23.66,元/公斤,示例数据
2023-08-05,25.13,元/公斤,示例数据
2023-08-06,22.89,元/公斤,示例数据
2023-08-07,22.7,元/公斤,示例数据
2023-08-08,22.52,元/公斤,示例数据
2023-08-09,23.56,元/公斤,示例数据
2023-08-10,23.51,元/公斤,示例数据
2023-08-11,25.7,元/公斤,示例数据
2023-08-12,21.61,元/公斤,示例数据
2023-08-13,25.46,元/公斤,示例数据
2023-08-14,22.7,元/公斤,示例数据
2023-08-15,25.56,元/公斤,示例数据
2023-08-16,23.27,元/公斤,示例数据
2023-08-17,25.22,元/公斤,示例数据
2023-08-18,22.99,元/公斤,示例数据
2023-08-19,21.8,元/公斤,示例数据
2023-08-20,25.75,元/公斤,示例数据
2023-08-21,22.18,元/公斤,示例数据
2023-08-22,22.23,元/公斤,示例数据
2023-08-23,22.7,元/公斤,示例数据
2023-08-24,21.95,元/公斤,示例数据
2023-08-25,22.94,元/公斤,示例数据
2023-08-26,24.84,元/公斤,示例数据
2023-08-27,25.08,元/公斤,示例数据
2023-08-28,22.7,元/公斤,示例数据
2023-08-29,24.13,元/公斤,示例数据
2023-08-30,23.7,元/公斤,示例数据
2023-08-31,22.75,元/公斤,示例数据
2023-09-01,23.99,元/公斤,示例数据
2023-09-02,20.61,元/公斤,示例数据
2023-09-03,22.73,元/公斤,示例数据
2023-09-04,21.87,元/公斤,示例数据
2023-09-05,23.18,元/公斤,示例数据
2023-09-06,24.62,元/公斤,示例数据
2023-09-07,22.73,元/公斤,示例数据
2023-09-08,23.45,元/公斤,示例数据
2023-09-09,21.29,元/公斤,示例数据
2023-09-10,21.91,元/公斤,示例数据
2023-09-11,20.66,元/公斤,示例数据
2023-09-12,23.85,元/公斤,示例数据
2023-09-13,22.5,元/公斤,示例数据
2023-09-14,21.82,元/公斤,示例数据
2023-09-15,24.66,元/公斤,示例数据
2023-09-16,21.01,元/公斤,示例数据
2023-09-17,23.22,元/公斤,示例数据
2023-09-18,22.55,元/公斤,示例数据
2023-09-19,23.85,元/公斤,示例数据
2023-09-20,22.45,元/公斤,示例数据
2023-09-21,23.67,元/公斤,示例数据
2023-09-22,23.4,元/公斤,示例数据
2023-09-23,21.82,元/公斤,示例数据
2023-09-24,20.48,元/公斤,示例数据
2023-09-25,23.27,元/公斤,示例数据
2023-09-26,22.14,元/公斤,示例数据
2023-09-27,24.3,元/公斤,示例数据
2023-09-28,20.66,元/公斤,示例数据
2023-09-29,21.38,元/公斤,示例数据
2023-09-30,23.31,元/公斤,示例数据
2023-10-01,21.04,元/公斤,示例数据
2023-10-02,21.46,元/公斤,示例数据
2023-10-03,22.95,元/公斤,示例数据
2023-10-04,19.76,元/公斤,示例数据
2023-10-05,20.44,元/公斤,示例数据
2023-10-06,21.97,元/公斤,示例数据
2023-10-07,22.23,元/公斤,示例数据
2023-10-08,21.29,元/公斤,示例数据
2023-10-09,23.33,元/公斤,示例数据
2023-10-10,22.14,元/公斤,示例数据
2023-10-11,20.36,元/公斤,示例数据
2023-10-12,22.74,元/公斤,示例数据
2023-10-13,22.23,元/公斤,示例数据
2023-10-14,21.93,元/公斤,示例数据
2023-10-15,20.23,元/公斤,示例数据
2023-10-16,22.7,元/公斤,示例数据
2023-10-17,19.42,元/公斤,示例数据
2023-10-18,20.82,元/公斤,示例数据
2023-10-19,20.82,元/公斤,示例数据
2023-10-20,21.42,元/公斤,示例数据
2023-10-21,21.38,元/公斤,示例数据
2023-10-22,19.46,元/公斤,示例数据
2023-10-23,19.93,元/公斤,示例数据
2023-10-24,21.55,元/公斤,示例数据
2023-10-25,22.74,元/公斤,示例数据
2023-10-26,20.23,元/公斤,示例数据
2023-10-27,19.89,元/公斤,示例数据
2023-10-28,23.29,元/公斤,示例数据
2023-10-29,20.27,元/公斤,示例数据
2023-10-30,20.91,元/公斤,示例数据
2023-10-31,20.61,元/公斤,示例数据
2023-11-01,20.4,元/公斤,示例数据
2023-11-02,19.96,元/公斤,示例数据
2023-11-03,21.84,元/公斤,示例数据
2023-11-04,21.6,元/公斤,示例数据
2023-11-05,21.92,元/公斤,示例数据
2023-11-06,21.84,元/公斤,示例数据
2023-11-07,20.96,元/公斤,示例数据
2023-11-08,18.6,元/公斤,示例数据
2023-11-09,20.32,元/公斤,示例数据
2023-11-10,20.8,元/公斤,示例数据
2023-11-11,19.32,元/公斤,示例数据
2023-11-12,21.08,元/公斤,示例数据
2023-11-13,19.76,元/公斤,示例数据
2023-11-14,18.44,元/公斤,示例数据
2023-11-15,19.44,元/公斤,示例数据
2023-11-16,21.2,元/公斤,示例数据
2023-11-17,19.72,元/公斤,示例数据
2023-11-18,18.68,元/公斤,示例数据
2023-11-19,20.0,元/公斤,示例数据
2023-11-20,21.44,元/公斤,示例数据
2023-11-21,18.68,元/公斤,示例数据
2023-11-22,19.0,元/公斤,示例数据
2023-11-23,21.44,元/公斤,示例数据
2023-11-24,20.2,元/公斤,示例数据
2023-11-25,20.16,元/公斤,示例数据
2023-11-26,21.16,元/公斤,示例数据
2023-11-27,19.4,元/公斤,示例数据
2023-11-28,20.4,元/公斤,示例数据
2023-11-29,21.6,元/公斤,示例数据
2023-11-30,19.56,元/公斤,示例数据
2023-12-01,19.8,元/公斤,示例数据
2023-12-02,19.01,元/公斤,示例数据
2023-12-03,19.61,元/公斤,示例数据
2023-12-04,18.98,元/公斤,示例数据
2023-12-05,17.14,元/公斤,示例数据
2023-12-06,17.25,元/公斤,示例数据
2023-12-07,20.1,元/公斤,示例数据
2023-12-08,19.69,元/公斤,示例数据
2023-12-09,19.61,元/公斤,示例数据
2023-12-10,17.89,元/公斤,示例数据
2023-12-11,17.66,元/公斤,示例数据
2023-12-12,19.43,元/公斤,示例数据
2023-12-13,17.55,元/公斤,示例数据
2023-12-14,17.03,元/公斤,示例数据
2023-12-15,19.05,元/公斤,示例数据
2023-12-16,19.24,元/公斤,示例数据
2023-12-17,17.62,元/公斤,示例数据
2023-12-18,18.56,元/公斤,示例数据
2023-12-19,20.03,元/公斤,示例数据
2023-12-20,17.74,元/公斤,示例数据
2023-12-21,19.91,元/公斤,示例数据
2023-12-22,18.26,元/公斤,示例数据
2023-12-23,16.95,元/公斤,示例数据
2023-12-24,20.36,元/公斤,示例数据
2023-12-25,17.74,元/公斤,示例数据
2023-12-26,17.14,元/公斤,示例数据
2023-12-27,19.43,元/公斤,示例数据
2023-12-28,18.82,元/公斤,示例数据
2023-12-29,18.6,元/公斤,示例数据
2023-12-30,18.19,元/公斤,示例数据
2023-12-31,18.56,元/公斤,示例数据
2024-01-01,29.51,元/公斤,示例数据
2024-01-02,31.91,元/公斤,示例数据
2024-01-03,30.1,元/公斤,示例数据
2024-01-04,29.64,元/公斤,示例数据
2024-01-05,29.25,元/公斤,示例数据
2024-01-06,32.05,元/公斤,示例数据
2024-01-07,33.02,元/公斤,示例数据
2024-01-08,30.42,元/公斤,示例数据
2024-01-09,32.89,元/公斤,示例数据
2024-01-10,30.1,元/公斤,示例数据
2024-01-11,32.7,元/公斤,示例数据
2024-01-12,30.1,元/公斤,示例数据
2024-01-13,33.61,元/公斤,示例数据
2024-01-14,34.52,元/公斤,示例数据
2024-01-15,35.55,元/公斤,示例数据
2024-01-16,34.39,元/公斤,示例数据
2024-01-17,30.29,元/公斤,示例数据
2024-01-18,33.15,元/公斤,示例数据
2024-01-19,31.07,元/公斤,示例数据
2024-01-20,34.84,元/公斤,示例数据
2024-01-21,29.32,元/公斤,示例数据
2024-01-22,33.73,元/公斤,示例数据
2024-01-23,32.37,元/公斤,示例数据
2024-01-24,31.39,元/公斤,示例数据
2024-01-25,32.7,元/公斤,示例数据
2024-01-26,32.24,元/公斤,示例数据
2024-01-27,29.25,元/公斤,示例数据
2024-01-28,35.62,元/公斤,示例数据
2024-01-29,31.72,元/公斤,示例数据
2024-01-30,30.68,元/公斤,示例数据
2024-01-31,34.52,元/公斤,示例数据
2024-02-01,28.75,元/公斤,示例数据
2024-02-02,32.94,元/公斤,示例数据
2024-02-03,30.44,元/公斤,示例数据
2024-02-04,29.75,元/公斤,示例数据
2024-02-05,32.94,元/公斤,示例数据
2024-02-06,32.12,元/公斤,示例数据
2024-02-07,29.62,元/公斤,示例数据
2024-02-08,28.94,元/公斤,示例数据
2024-02-09,30.81,元/公斤,示例数据
2024-02-10,28.56,元/公斤,示例数据
2024-02-11,31.25,元/公斤,示例数据
2024-02-12,29.0,元/公斤,示例数据
2024-02-13,30.88,元/公斤,示例数据
2024-02-14,33.25,元/公斤,示例数据
2024-02-15,28.81,元/公斤,示例数据
2024-02-16,31.12,元/公斤,示例数据
2024-02-17,34.19,元/公斤,示例数据
2024-02-18,34.06,元/公斤,示例数据
2024-02-19,30.31,元/公斤,示例数据
2024-02-20,30.94,元/公斤,示例数据
2024-02-21,31.75,元/公斤,示例数据
2024-02-22,32.75,元/公斤,示例数据
2024-02-23,29.19,元/公斤,示例数据
2024-02-24,29.19,元/公斤,示例数据
2024-02-25,30.38,元/公斤,示例数据
2024-02-26,30.56,元/公斤,示例数据
2024-02-27,33.88,元/公斤,示例数据
2024-02-28,31.19,元/公斤,示例数据
2024-02-29,29.56,元/公斤,示例数据
2024-03-01,32.28,元/公斤,示例数据
2024-03-02,28.68,元/公斤,示例数据
2024-03-03,32.46,元/公斤,示例数据
2024-03-04,27.12,元/公斤,示例数据
2024-03-05,27.9,元/公斤,示例数据
2024-03-06,32.64,元/公斤,示例数据
2024-03-07,32.4,元/公斤,示例数据
2024-03-08,28.56,元/公斤,示例数据
2024-03-09,30.48,元/公斤,示例数据
2024-03-10,31.44,元/公斤,示例数据
2024-03-11,30.84,元/公斤,示例数据
2024-03-12,31.26,元/公斤,示例数据
2024-03-13,30.48,元/公斤,示例数据
2024-03-14,32.04,元/公斤,示例数据
2024-03-15,30.3,元/公斤,示例数据
2024-03-16,32.46,元/公斤,示例数据
2024-03-17,32.34,元/公斤,示例数据
2024-03-18,28.5,元/公斤,示例数据
2024-03-19,30.18,元/公斤,示例数据
2024-03-20,27.12,元/公斤,示例数据
2024-03-21,27.48,元/公斤,示例数据
2024-03-22,31.02,元/公斤,示例数据
2024-03-23,32.22,元/公斤,示例数据
2024-03-24,30.42,元/公斤,示例数据
2024-03-25,29.88,元/公斤,示例数据
2024-03-26,31.5,元/公斤,示例数据
2024-03-27,30.18,元/公斤,示例数据
2024-03-28,29.94,元/公斤,示例数据
2024-03-29,27.78,元/公斤,示例数据
2024-03-30,32.46,元/公斤,示例数据
2024-03-31,32.76,元/公斤,示例数据
2024-04-01,26.1,元/公斤,示例数据
2024-04-02,27.66,元/公斤,示例数据
2024-04-03,31.51,元/公斤,示例数据
2024-04-04,26.74,元/公斤,示例数据
2024-04-05,26.56,元/公斤,示例数据
2024-04-06,30.99,元/公斤,示例数据
2024-04-07,25.93,元/公斤,示例数据
2024-04-08,28.0,元/公斤,示例数据
2024-04-09,28.86,元/公斤,示例数据
2024-04-10,26.97,元/公斤,示例数据
2024-04-11,28.17,元/公斤,示例数据
2024-04-12,27.2,元/公斤,示例数据
2024-04-13,28.46,元/公斤,示例数据
2024-04-14,28.0,元/公斤,示例数据
2024-04-15,29.04,元/公斤,示例数据
2024-04-16,27.94,元/公斤,示例数据
2024-04-17,29.96,元/公斤,示例数据
2024-04-18,28.06,元/公斤,示例数据
2024-04-19,30.7,元/公斤,示例数据
2024-04-20,30.07,元/公斤,示例数据
2024-04-21,29.04,元/公斤,示例数据
2024-04-22,28.69,元/公斤,示例数据
2024-04-23,27.14,元/公斤,示例数据
2024-04-24,27.48,元/公斤,示例数据
2024-04-25,26.1,元/公斤,示例数据
2024-04-26,28.69,元/公斤,示例数据
2024-04-27,27.25,元/公斤,示例数据
2024-04-28,26.51,元/公斤,示例数据
2024-04-29,27.37,元/公斤,示例数据
2024-04-30,27.6,元/公斤,示例数据
2024-05-01,28.11,元/公斤,示例数据
2024-05-02,27.06,元/公斤,示例数据
2024-05-03,28.11,元/公斤,示例数据
2024-05-04,26.68,元/公斤,示例数据
2024-05-05,28.82,元/公斤,示例数据
2024-05-06,26.84,元/公斤,示例数据
2024-05-07,26.51,元/公斤,示例数据
2024-05-08,27.89,元/公斤,示例数据
2024-05-09,25.03,元/公斤,示例数据
2024-05-10,27.06,元/公斤,示例数据
2024-05-11,26.29,元/公斤,示例数据
2024-05-12,25.8,元/公斤,示例数据
2024-05-13,28.77,元/公斤,示例数据
2024-05-14,26.29,元/公斤,示例数据
2024-05-15,29.48,元/公斤,示例数据
2024-05-16,25.63,元/公斤,示例数据
2024-05-17,29.48,元/公斤,示例数据
2024-05-18,28.16,元/公斤,示例数据
2024-05-19,26.24,元/公斤,示例数据
2024-05-20,25.8,元/公斤,示例数据
2024-05-21,26.13,元/公斤,示例数据
2024-05-22,28.55,元/公斤,示例数据
2024-05-23,29.65,元/公斤,示例数据
2024-05-24,29.98,元/公斤,示例数据
2024-05-25,27.34,元/公斤,示例数据
2024-05-26,29.81,元/公斤,示例数据
2024-05-27,27.61,元/公斤,示例数据
2024-05-28,28.11,元/公斤,示例数据
2024-05-29,25.19,元/公斤,示例数据
2024-05-30,30.03,元/公斤,示例数据
2024-05-31,25.08,元/公斤,示例数据
2024-06-01,26.93,元/公斤,示例数据
2024-06-02,28.82,元/公斤,示例数据
2024-06-03,27.98,元/公斤,示例数据
2024-06-04,27.46,元/公斤,示例数据
2024-06-05,23.68,元/公斤,示例数据
2024-06-06,25.57,元/公斤,示例数据
2024-06-07,28.72,元/公斤,示例数据
2024-06-08,24.73,元/公斤,示例数据
2024-06-09,28.56,元/公斤,示例数据
2024-06-10,25.62,元/公斤,示例数据
2024-06-11,25.88,元/公斤,示例数据
2024-06-12,24.99,元/公斤,示例数据
2024-06-13,27.62,元/公斤,示例数据
2024-06-14,27.46,元/公斤,示例数据
2024-06-15,24.46,元/公斤,示例数据
2024-06-16,25.36,元/公斤,示例数据
2024-06-17,24.05,元/公斤,示例数据
2024-06-18,25.2,元/公斤,示例数据
2024-06-19,27.04,元/公斤,示例数据
2024-06-20,23.99,元/公斤,示例数据
2024-06-21,28.09,元/公斤,示例数据
2024-06-22,28.25,元/公斤,示例数据
2024-06-23,23.68,元/公斤,示例数据
2024-06-24,24.31,元/公斤,示例数据
2024-06-25,27.25,元/公斤,示例数据
2024-06-26,25.99,元/公斤,示例数据
2024-06-27,24.62,元/公斤,示例数据
2024-06-28,27.46,元/公斤,示例数据
2024-06-29,27.56,元/公斤,示例数据
2024-06-30,23.89,元/公斤,示例数据
2024-07-01,22.85,元/公斤,示例数据
2024-07-02,25.75,元/公斤,示例数据
2024-07-03,27.1,元/公斤,示例数据
2024-07-04,27.3,元/公斤,示例数据
2024-07-05,26.55,元/公斤,示例数据
2024-07-06,25.55,元/公斤,示例数据
2024-07-07,25.6,元/公斤,示例数据
2024-07-08,23.45,元/公斤,示例数据
2024-07-09,24.4,元/公斤,示例数据
2024-07-10,25.85,元/公斤,示例数据
2024-07-11,24.1,元/公斤,示例数据
2024-07-12,25.3,元/公斤,示例数据
2024-07-13,27.45,元/公斤,示例数据
2024-07-14,26.65,元/公斤,示例数据
2024-07-15,26.8,元/公斤,示例数据
2024-07-16,24.55,元/公斤,示例数据
2024-07-17,24.5,元/公斤,示例数据
2024-07-18,27.0,元/公斤,示例数据
2024-07-19,25.6,元/公斤,示例数据
2024-07-20,22.9,元/公斤,示例数据
2024-07-21,22.95,元/公斤,示例数据
2024-07-22,25.45,元/公斤,示例数据
2024-07-23,26.6,元/公斤,示例数据
2024-07-24,26.95,元/公斤,示例数据
2024-07-25,24.85,元/公斤,示例数据
2024-07-26,25.6,元/公斤,示例数据
2024-07-27,26.3,元/公斤,示例数据
2024-07-28,23.95,元/公斤,示例数据
2024-07-29,25.35,元/公斤,示例数据
2024-07-30,25.85,元/公斤,示例数据
2024-07-31,25.6,元/公斤,示例数据
2024-08-01,22.56,元/公斤,示例数据
2024-08-02,22.89,元/公斤,示例数据
2024-08-03,22.89,元/公斤,示例数据
2024-08-04,22.56,元/公斤,示例数据
2024-08-05,25.22,元/公斤,示例数据
2024-08-06,21.8,元/公斤,示例数据
2024-08-07,23.7,元/公斤,示例数据
2024-08-08,22.18,元/公斤,示例数据
2024-08-09,22.66,元/公斤,示例数据
2024-08-10,24.37,元/公斤,示例数据
2024-08-11,22.18,元/公斤,示例数据
2024-08-12,22.94,元/公斤,示例数据
2024-08-13,21.61,元/公斤,示例数据
2024-08-14,23.42,元/公斤,示例数据
2024-08-15,22.99,元/公斤,示例数据
2024-08-16,22.18,元/公斤,示例数据
2024-08-17,23.42,元/公斤,示例数据
2024-08-18,22.7,元/公斤,示例数据
2024-08-19,21.61,元/公斤,示例数据
2024-08-20,22.56,元/公斤,示例数据
2024-08-21,25.98,元/公斤,示例数据
2024-08-22,21.38,元/公斤,示例数据
2024-08-23,25.51,元/公斤,示例数据
2024-08-24,24.7,元/公斤,示例数据
2024-08-25,21.57,元/公斤,示例数据
2024-08-26,21.61,元/公斤,示例数据
2024-08-27,24.89,元/公斤,示例数据
2024-08-28,24.51,元/公斤,示例数据
2024-08-29,22.94,元/公斤,示例数据
2024-08-30,25.13,元/公斤,示例数据
2024-08-31,22.89,元/公斤,示例数据
2024-09-01,22.86,元/公斤,示例数据
2024-09-02,24.57,元/公斤,示例数据
2024-09-03,22.23,元/公斤,示例数据
2024-09-04,21.51,元/公斤,示例数据
2024-09-05,22.32,元/公斤,示例数据
2024-09-06,22.27,元/公斤,示例数据
2024-09-07,23.18,元/公斤,示例数据
2024-09-08,21.64,元/公斤,示例数据
2024-09-09,22.32,元/公斤,示例数据
2024-09-10,23.76,元/公斤,示例数据
2024-09-11,22.45,元/公斤,示例数据
2024-09-12,22.18,元/公斤,示例数据
2024-09-13,22.36,元/公斤,示例数据
2024-09-14,21.46,元/公斤,示例数据
2024-09-15,22.05,元/公斤,示例数据
2024-09-16,20.92,元/公斤,示例数据
2024-09-17,22.36,元/公斤,示例数据
2024-09-18,22.23,元/公斤,示例数据
2024-09-19,21.55,元/公斤,示例数据
2024-09-20,23.45,元/公斤,示例数据
2024-09-21,22.95,元/公斤,示例数据
2024-09-22,23.67,元/公斤,示例数据
2024-09-23,21.51,元/公斤,示例数据
2024-09-24,23.99,元/公斤,示例数据
2024-09-25,23.13,元/公斤,示例数据
